_id,category,name,price,desc
1,T,から揚げ定食,800,若鳥のから揚げにサラダ、ご飯とお味噌汁が付きます。
2,T,ハンバーグ定食,850,手ごねハンバーグにサラダ、ご飯とお味噌汁が付きます。
3,T,生姜焼き定食,850,すりおろし生姜を使った生姜焼きにサラダ、ご飯とお味噌汁が付きます。
4,T,ステーキ定食,1000,国産牛のステーキにサラダ、ご飯とお味噌汁が付きます。
5,T,野菜炒め定食,750,季節の野菜炒めにサラダ、ご飯とお味噌汁が付きます。
6,T,とんかつ定食,900,ロースとんかつにサラダ、ご飯とお味噌汁が付きます。
7,T,ミンチかつ定食,850,手ごねミンチカツにサラダ、ご飯とお味噌汁が付きます。
8,T,チキンカツ定食,900,ボリュームたっぷりチキンカツにサラダ、ご飯とお味噌汁が付きます。
9,T,コロッケ定食,850,北海道ポテトコロッケにサラダ、ご飯とお味噌汁が付きます。
10,T,焼き魚定食,850,鰆の塩焼きにサラダ、ご飯とお味噌汁が付きます。
11,T,焼肉定食,950,特性たれの焼肉にサラダ、ご飯とお味噌汁が付きます。
12,C,ビーフカレー,520,特選スパイスをきかせた国産ビーフ100%のカレーです。
13,C,ポークカレー,420,特選スパイスをきかせた国産ポーク100%のカレーです。
14,C,ハンバーグカレー,620,特選スパイスをきかせたカレーに手ごねハンバーグをトッピングです。
15,C,チーズカレー,560,特選スパイスをきかせたカレーにとろけるチーズをトッピングです。
16,C,カツカレー,760,特選スパイスをきかせたカレーに国産ロースカツをトッピングです。
17,C,ビーフカツカレー,880,特選スパイスをきかせたカレーに国産ビーフカツをトッピングです。
18,C,からあげカレー,540,特選スパイスをきかせたカレーに若鳥のから揚げをトッピングです。
